Marshall Teach,Guest,Beef Entree,22.0
Edward Newgate,Member,Fish Entree,22.0
Louis Arnote,Volunteer,Beef Entree,0.0
Benn Beckman,Staff(Off-duty),Gluten-free Meal,17.0
Lucas Thalassa,VIP,Pork Entree,0.0
Jesus Burgess,Staff(Off-duty),Duck Entree,17.0
Mary Watkins,Member,Vegetarian Meal,22.0
Charlotte Henderson,Staff(On-duty),Vegetarian Meal,0.0
Terrell Mckinney,Guest,Pork Entree,22.0
Willie Perry,Member,Gluten-free Meal,22.0
Jane Greene,Member,Beef Entree,22.0
Nadine Greene,Member,Fish Entree,22.0
Nicolas Schultz,Guest,Gluten-free Meal,22.0
Misty Fields,Volunteer,Fish Entree,0.0
Yvonne Haynes,Guest,Duck Entree,22.0
Tonya Bennett,VIP,Duck Entree,0.0
Edith Bowman,VIP,Vegetarian Meal,0.0
Cecelia Lambert,Staff(Off-duty),Beef Entree,17.0
Lucia Patrick,Member,Pork Entree,22.0
Carlton Colon,Member,Fish Entree,22.0
Maurice Mendez,Guest,Duck Entree,22.0
Amy Rivera,Volunteer,Gluten-free Meal,0.0
Bessie Wheeler,Member,Chicken Entree,22.0
Ricky Morris,Guest,Pork Entree,22.0
Toby Simmons,Staff(On-duty),Chicken Entree,0.0
Kelvin Mack,Member,Duck Entree,22.0
Brenda Holt,Guest,Pork Entree,22.0
